1,홍길동,95,94,70,259,86.3333333333,1
2,유관순,91,56,56,203,67.6666666667,1
3,이순신,97,78,89,264,88,1
4,강감찬,59,73,78,210,70,1
5,김구,81,57,100,238,79.3333333333,1
6,김유신,97,71,82,250,83.3333333333,1
7,홍길자,55,65,56,176,58.6666666667,1
8,홍길순,90,94,62,246,82,1
9,mdarbon8,70,85,87,242,80.6666666667,1
10,gbalam9,55,82,53,190,63.3333333333,1
11,fhacketta,99,100,96,295,98.3333333333,1
12,ldelnevob,53,93,71,217,72.3333333333,1
13,jpatkinc,51,70,81,202,67.3333333333,1
14,yargiled,96,62,54,212,70.6666666667,1
15,sgrunwalde,89,92,72,253,84.3333333333,1
16,zkibbyf,96,88,61,245,81.6666666667,1
17,dashbeg,64,52,68,184,61.3333333333,1
18,sdulwichh,98,76,73,247,82.3333333333,1
19,dfellibrandi,100,78,92,270,90,1
20,cjollandj,94,65,83,242,80.6666666667,1
